Term,Definition
Վիմագիր,Ընդհանուր տերմին բոլոր քարե արձանագրությունների համար (Epigraph / petroglyph – a general term for all stone inscriptions)
վիմական արձանագրություն,Ընդհանուր տերմին բոլոր քարե արձանագրությունների համար (Epigraph / petroglyph – a general term for all stone inscriptions)
Տապանագիր,"Գերեզմանային արձանագրություն (գերեզմանոցներում, տապանաքարերի վրա) (Epitaph / epitaph inscription – grave inscription (in cemeteries, on tombstones))"
տապանաքարային արձանագրություն,"Գերեզմանային արձանագրություն (գերեզմանոցներում, տապանաքարերի վրա) (Epitaph / epitaph inscription – grave inscription (in cemeteries, on tombstones))"
տապանաքարային վիմագիր,"Գերեզմանային արձանագրություն (գերեզմանոցներում, տապանաքարերի վրա) (Epitaph / epitaph inscription – grave inscription (in cemeteries, on tombstones))"
Գերեզմանատան արձանագրություն,Ամբողջ գերեզմանատան տարածքում հավաքված արձանագրություններ
Խաչքարային արձանագրություն,Խաչքարի վրա փորագրված արձանագրություն
Շինարարական արձանագրություն,Շինարարության կամ վերանորոգման արձանագրություններ
կառուցողական արձանագրություն,Շինարարության կամ վերանորոգման արձանագրություններ
Եկեղեցու արձանագրություն,Եկեղեցու կառուցման կամ վերանորոգման արձանագրություն
եկեղեցաշինական արձանագրություն,Եկեղեցու կառուցման կամ վերանորոգման արձանագրություն
Նվիրատվական արձանագրություն,"Նվիրատուի արձանագրություն, նվիրվածքներով կամ կոնդակագրերով"
նվիրագիր,"Նվիրատուի արձանագրություն, նվիրվածքներով կամ կոնդակագրերով"
Հուշագիր,Հիշատակային / հուշային արձանագրություն
հիշատակագիր,Հիշատակային / հուշային արձանագրություն
հիշատակագրային վիմագիր,Հիշատակային / հուշային արձանագրություն
Հուշակոթողային արձանագրություն,Հուշակոթողներին փորագրված արձանագրություններ
Դամբարանային արձանագրություն,Դամբարանների և դամբարանախցերի մակագրություններ
դամբարանախուցի մակագրություն,Դամբարանների և դամբարանախցերի մակագրություններ
Կոթողային արձանագրություն,Առանձին կանգուն կոթողներին փորագրված արձանագրություններ
Ապարանքների շինարարական արձանագրություններ,Մելիքական և իշխանական ապարանքներում եղած վիմագրեր
Շրջագիր ծածկագիր,"Գաղտնագիր, ծածկագիր արձանագրություններ"
փակագիր արձանագրություն,"Գաղտնագիր, ծածկագիր արձանագրություններ"
Պատկերագիր,Պատկերագրական բնույթի արձանագրություններ
ժայռապատկեր,Պատկերագրական բնույթի արձանագրություններ
պետրոգլիֆ,Պատկերագրական բնույթի արձանագրություններ
Ապահարկման արձանագրություն,Հարկերից ազատման կամ հարկային պարտավորությունների մասին արձանագրություններ
հարկային արձանագրություն,Հարկերից ազատման կամ հարկային պարտավորությունների մասին արձանագրություններ
Ջրօգտագործման արձանագրություն,"Ջրանցքների, ջրաբաշխման և ջրի օգտագործման կարգի մասին արձանագրություններ"
Կանոնագիր,Կանոնադրական կամ իրավական նորմերի արձանագրություններ
կանոնաիրավական արձանագրություն,Կանոնադրական կամ իրավական նորմերի արձանագրություններ
Դռնագիր,Դռան կամ դարպասի վերնամասում փորագրված արձանագրություն
Որմնագիր,Պատերի վրա փորագրված արձանագրություն
որմային արձանագրություն,Պատերի վրա փորագրված արձանագրություն
Պատուհանագիր,Պատուհանագոգին կամ շրջանակին փորագրված արձանագրություն
Գավիթային արձանագրություն,Գավիթներում պահպանված արձանագրություններ
Սյունագիր,Սյուներին փորագրված արձանագրություններ
սյունային արձանագրություն,Սյուներին փորագրված արձանագրություններ
Գմբեթային արձանագրություն,Գմբեթի վրա փորագրված արձանագրություններ
Բարավորի արձանագրություն,Բարավոր քարերին փորագրված արձանագրություններ
Ժամատան արձանագրություն,Ժամատներում թողած արձանագրություններ
Զանգակատան արձանագրություն,Զանգակատների մակագրություններ
Տաղավարի արձանագրություն,Արտաքին տաղավարներում եղած արձանագրություններ
Հանգանակային արձանագրություն,Հանգանակությունների մասին հիշատակներ
Վերանորոգման,Վերանորոգման փաստ արձանագրող գրություններ
նորոգման արձանագրություն,Վերանորոգման փաստ արձանագրող գրություններ
Վերակառուցման արձանագրություն,Շինության վերակառուցման մասին հիշատակ
Վերաօծման արձանագրություն,Եկեղեցու կամ սրբավայրի օծման/վերաօծման մասին գրություններ
Օրհնագիր,Օրհնության բնույթի արձանագրություն
Կոնդակագիր,Կոնդակային բնույթի արձանագրություն (համարժեք ձեռագիր կոնդակների)
Թագավորական արձանագրություն,Արքայական հրամանով կամ հիշատակով արձանագրություններ
Իշխանական արձանագրություն,Իշխանների կողմից թողած արձանագրություններ
Վանական արձանագրություն,Վանականների կողմից թողած արձանագրություններ
Մատենագիտական արձանագրություն,Հիշատակարանային բնույթի գրություններ (ձեռագրերում)
